total_field_area_ha,gps_latitude,gps_longitude,seeding_rate_kg_ha,average_number_of_plants,monitoring_field_area_sqm,rice_variety_no,rice_variety_maturity_duration,applied_area_sqm,affected_area_ha,planning_gap_days,delay_days,growing_days,yield_t_per_ha,damage_occurred,severity_code,affected_ratio,pest_present,total_n,total_p,total_k,num_applications,total_amount,province_Antique,province_Capiz,province_Iloilo,soil_type_x_Land preparation,soil_type_x_Planted,current_field_condition_Just harvested,current_field_condition_Land preparation,current_field_condition_Planted,crop_planted_Rice,crop_status_Germination,crop_status_Seedling,crop_status_Tillering,est_crop_establishment_method_Transplanted,direct_seeding_method_Row direct-seeded,seed_class_Good,seed_class_Hybrid,seed_class_Registered,ecosystem_Rainfed Lowland,ecosystem_Rainfed lowland,"source_of_irrigation_Surface water (river, stream, ponds, small water impounding projects, dam)",harvesting_method_Mechanic,harvesting_method_Mechanical,harvesting_method_Mechnical,irrigation_supply_Not Enough,irrigation_supply_Sufficient,cause_No Damage,cause_Tropical Cyclone,crop_stage_Panicle,severity_Medium,type_of_irrigation_National Irrigation System (NIS),type_of_irrigation_Private Irrigation System (PIS),source_of_good_seeds_Seed_producer,soil_type_y_Loamy,variety_group_others,variety_group_psb,variety_group_unknown
1.0,11.5240673,122.5238385,160.0,23.33,427.0,216.0,112.0,3124.0,0.0,51.0,1.0,93.0,3.57,0.0,0.0,0.0,0.0,3.24,1.62,1.62,2.0,162.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1.0,11.5248809,122.5056619,40.0,8.0,662.0,222.0,114.0,5890.0,0.0,46.0,-5.0,104.0,2.892857142857143,0.0,0.0,0.0,0.0,5.49,3.66,3.66,2.0,183.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0.5,11.5355637,122.4712267,160.0,19.0,672.0,480.0,107.0,7421.0,0.0,22.0,-20.0,97.0,1.764,0.0,0.0,0.0,0.0,56.120000000000005,0.0,0.0,2.0,122.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0.25,11.5379777,122.4435001,160.0,21.67,1218.0,216.0,112.0,4157.0,0.0,28.0,16.0,100.0,3.528,0.0,0.0,0.0,0.0,14.14,14.14,14.14,2.0,101.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0.25,11.5278619,122.4783191,160.0,21.67,908.0,216.0,112.0,22894.0,0.0,44.0,2.0,95.0,3.78,0.0,0.0,0.0,0.0,14.56,18.2,0.0,2.0,91.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0.5,11.8182181,122.1135728,160.0,22.33,444.0,216.0,112.0,3510.0,0.0,12.0,7.0,88.0,4.2,0.0,0.0,0.0,0.0,0.25,0.25,0.25,2.0,5.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
0.75,11.8068594,122.1419623,120.0,36.0,789.0,222.0,114.0,1200.0,0.0,25.0,-1.0,95.0,2.2399999999999998,0.0,0.0,0.0,0.0,0.2,0.2,0.2,2.0,5.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
0.5,11.7548121,122.1772865,120.0,19.67,482.0,216.0,112.0,6935.0,0.0,2.0,0.0,97.0,3.192,0.0,0.0,0.0,0.0,3.36,1.68,1.68,2.0,168.0,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
0.8,11.7783937,122.1636825,80.0,19.33,945.0,216.0,112.0,2748.0,0.0,8.0,0.0,88.0,3.4363636363636365,0.0,0.0,0.0,0.0,63.480000000000004,0.0,0.0,2.0,138.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
0.35,11.7929399,122.1585266,120.0,19.67,482.0,216.0,112.0,4021.0,0.0,26.0,0.0,97.0,2.428571428571429,0.0,0.0,0.0,0.0,7.7,7.7,7.7,1.0,55.0,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
0.45,11.6471165,122.3880296,80.0,17.67,1322.2,216.0,112.0,3678.0,0.0,26.0,-10.0,99.0,4.4799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,48.6,2.0,81.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
0.18,11.6282355,122.3910117,80.0,17.33,1732.2,216.0,112.0,3210.0,0.0,26.0,-6.0,94.0,5.929411764705882,0.0,0.0,0.0,0.0,0.25,0.25,0.25,2.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
3.0,11.6423574,122.3705155,120.0,25.0,2351.2,216.0,112.0,18765.0,0.0,19.0,9.0,92.0,3.5,0.0,0.0,0.0,0.0,3.74,1.87,1.87,2.0,187.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
0.5,11.6464838,122.357217,120.0,24.0,801.06,216.0,112.0,11834.0,0.0,17.0,21.0,102.0,5.208,0.0,0.0,0.0,0.0,1.5,0.75,0.75,1.0,75.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
1.0,11.6566316,122.3795193,80.0,17.67,1337.4,216.0,112.0,5092.0,0.0,41.0,-20.0,140.0,4.656,0.0,0.0,0.0,0.0,29.9,0.0,0.0,1.0,65.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
1.0,11.6664365,122.3672051,120.0,19.67,482.0,216.0,112.0,16450.0,0.0,15.0,0.0,97.0,4.3575,0.0,0.0,0.0,0.0,7.28,7.28,7.28,1.0,52.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
0.21,11.6588645,122.3749734,100.0,21.33,2118.2,216.0,112.0,9022.0,0.0,21.0,2.0,102.0,5.2,0.0,0.0,0.0,0.0,0.08,0.08,0.08,1.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
0.33,11.6480227,122.3762807,120.0,19.67,482.0,216.0,112.0,10450.0,0.0,32.0,0.0,97.0,5.3181818181818175,0.0,0.0,0.0,0.0,2.64,1.76,1.76,1.0,88.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
